matchup,kills,deaths,assists,csat15,oppcsat15,total_gold,damage
"Graves , Jarvan IV",4.0,4.0,6.0,81.0,70.0,17910.0,12531.0
"Hecarim , Jarvan IV",10.0,3.0,6.0,110.0,86.0,13197.0,21948.0
"Hecarim , Nocturne",5.0,3.0,5.0,93.0,89.0,12274.0,10312.0
"Hecarim , Rek'Sai",4.0,2.0,9.0,84.0,81.0,11626.0,10918.0
"Hecarim , Renekton",2.0,1.0,9.0,,,,
"Hecarim , Sylas",7.0,0.0,9.0,,,,
"Hecarim , Vi",1.0,5.0,10.0,110.0,93.0,12741.0,8693.0
"Heimerdinger , Varus",1.0,0.0,8.0,137.0,123.0,10944.0,21675.0
"Heimerdinger , Vel'koz",5.0,1.0,7.0,136.0,123.0,17213.0,36988.0
"Irelia , Aatrox",5.4,1.6,5.0,135.8,130.2,13924.6,12433.6
"Irelia , Akali",4.0,4.0,5.5,119.0,125.0,14818.0,19004.0
"Irelia , Azir",4.0,1.0,8.0,147.0,130.0,14724.0,9134.0
"Irelia , Corki",3.0,2.0,7.0,142.0,169.0,11952.0,6545.0
"Irelia , Gangplank",0.0,0.0,5.0,139.0,123.0,15427.0,7493.0
"Irelia , Jax",4.5,2.5,8.0,131.0,127.0,12648.0,11429.0
"Irelia , Jayce",5.75,2.5,4.25,145.0,111.0,14816.5,10701.5
"Irelia , Kennen",3.0,2.0,7.0,,,,
"Irelia , Lissandra",6.0,0.0,10.0,146.0,129.0,14739.0,15493.0
"Irelia , Lulu",2.5,1.0,6.5,137.0,122.0,11650.0,5103.0
"Irelia , Lux",5.0,1.0,4.0,155.0,115.0,14164.0,10418.0
"Irelia , Nautilus",11.0,1.0,12.0,,,,
"Irelia , Neeko",5.2,2.2,6.6,152.0,156.0,19051.0,7232.0
"Irelia , Orianna",3.0,0.0,4.0,130.0,112.0,14365.0,11921.0
"Irelia , Pantheon",6.0,5.0,6.0,,,,
"Irelia , Poppy",9.0,2.0,7.0,,,,
"Irelia , Pyke",5.0,0.0,6.0,138.0,89.0,13420.0,15407.0
"Irelia , Renekton",2.5714285714285716,1.7142857142857142,6.857142857142857,152.5,125.5,13427.5,11269.0
"Irelia , Ryze",5.5,0.5,7.5,140.5,131.5,13579.0,10315.0
"Irelia , Sylas",5.75,3.0,8.0,,,,
"Irelia , Twisted Fate",8.0,1.0,6.0,167.0,139.0,17382.0,14243.0
"Jarvan IV , Elise",3.5,2.5,13.75,79.33333333333333,78.66666666666667,10911.333333333334,6282.666666666667
"Jarvan IV , Gragas",0.7142857142857143,2.0,12.285714285714286,87.57142857142857,79.57142857142857,11463.42857142857,6389.714285714285
"Jarvan IV , Graves",1.0,1.0,9.0,96.0,95.0,12267.0,4798.0
"Jarvan IV , Hecarim",4.0,3.5,9.5,101.0,107.5,13534.0,8771.0
"Jarvan IV , Jayce",3.0,0.0,14.0,134.0,153.0,11408.0,11434.0
"Jarvan IV , Karthus",1.5,1.0,9.0,82.0,93.0,8907.0,4624.0
"Jarvan IV , Lee Sin",3.0,1.0,11.2,92.25,82.5,13135.5,9227.5
"Jarvan IV , Olaf",2.272727272727273,1.6363636363636365,11.454545454545455,86.71428571428571,85.28571428571429,10709.0,5068.428571428572
"Jarvan IV , Poppy",1.0,1.0,12.0,98.0,83.0,12260.0,6306.0
"Jarvan IV , Rek'Sai",1.5833333333333333,2.0833333333333335,10.833333333333334,90.0,84.5,11822.75,5157.0
"Jarvan IV , RekSai",2.0,1.0,16.0,,,,
"Jarvan IV , Rumble",4.0,2.0,8.0,125.0,96.0,11554.0,10375.0
"Jarvan IV , Sejuani",1.3571428571428572,1.7142857142857142,12.071428571428571,82.08333333333333,82.58333333333333,10949.416666666666,6647.25
"Jarvan IV , Skarner",1.75,1.75,10.5,83.25,84.25,11188.0,5407.25
"Jarvan IV , Sylas",2.0,1.3333333333333333,10.333333333333334,80.0,81.33333333333333,10062.666666666666,4449.666666666667
"Jarvan IV , Tahm Kench",1.0,1.0,13.0,93.0,27.0,8369.0,3036.0
"Jarvan IV , Vi",2.0,2.0,11.0,72.0,88.0,10581.0,4594.0
"Jarvan IV , Xin Zhao",2.75,2.125,10.5,78.25,77.75,10591.25,5653.75
"Jax , Aatrox",3.8,1.6,5.6,125.8,131.0,15580.2,13654.0
"Jax , Irelia",3.0,0.0,6.0,,,,
"Jax , Jarvan IV",3.0,1.0,3.0,88.0,84.0,12095.0,4184.0
"Jax , Kennen",3.0,1.0,0.0,,,,
"Jax , Mordekaiser",9.0,0.0,5.0,,,,
"Jayce , Aatrox",4.111111111111111,1.7777777777777777,5.777777777777778,132.75,126.5,15228.625,21547.0
"Jayce , Akali",3.0,0.6666666666666666,7.333333333333333,145.66666666666666,139.66666666666666,14025.333333333334,15693.0
"Jayce , Azir",6.333333333333333,1.3333333333333333,11.0,128.0,125.0,12913.0,23513.0
"Jayce , Camille",3.6666666666666665,2.0,5.833333333333333,114.66666666666667,122.0,13274.333333333334,19360.0
"Jayce , Cassiopeia",2.0,6.0,8.0,100.0,109.0,10909.0,11526.0
"Jayce , Corki",4.0,1.0,10.0,141.0,146.0,14644.0,21923.666666666668
"Jayce , Gnar",3.0,1.5,4.0,132.0,114.0,12943.0,18720.5
"Jayce , Gragas",5.0,1.0,6.0,143.0,117.0,15877.0,22331.0
"Jayce , Irelia",6.0,3.0,4.0,126.0,115.0,14008.0,15787.0
"Jayce , Jarvan IV",1.5,2.5,4.0,124.5,100.0,13708.0,16968.5
"Jayce , Karma",10.0,0.0,10.0,,,,
